ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KCDMEPO23N000000092","장소","문화시설","346911","육상액자갤러리",,,"100106","소형갤러리","4511110700100150006","전라북도","전주시 완산구","경원동3가",,"15-6","4511110700","4511153000","451114598413","현무1길","14","127.1480891","35.82005422","다마682582","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000093","장소","문화시설","346913","강원대학교춘천캠퍼스중앙박물관",,,"100103","기타전시/박물관","5111011200101920001","강원특별자치도","춘천시","효자동",,"192-1","5111011200","5111063000","511103218003","강원대학길","1","127.7440363","37.86954881","라사214855","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000094","장소","문화시설","346916","태성불교전시관",,,"100103","기타전시/박물관","1111012900100500002","서울특별시","종로구","견지동",,"50-2","1111012900","1111061500","111103100009","우정국로","53","126.9827378","37.57378326","다사543528","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000095","장소","문화시설","346925","더갤러리",,,"100106","소형갤러리","2711015700102140349","대구광역시","중구","대봉동",,"214-349","2711015700","2711068000","271104223080","동덕로6길","24","128.605926","35.85650177","라마998627","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000096","장소","문화시설","346933","예가족갤러리",,,"100106","소형갤러리","1147010100109070012","서울특별시","양천구","신정동",,"907-12","1147010100","1147065000","114703114014","오목로","199","126.859714","37.52563733","다사434475","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000097","장소","문화시설","346936","흥사단동숭미술관",,,"100105","미술관","1111016800100010028","서울특별시","종로구","동숭동",,"1-28","1111016800","1111064000","111103100002","대학로","122","127.002258","37.58222698","다사560537","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000098","장소","문화시설","346940","산그리나아트",,,"100106","소형갤러리","1111018300105640005","서울특별시","종로구","평창동",,"564-5","1111018300","1111056000","111104100514","평창4길","30","126.9634322","37.61048124","다사526569","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000099","장소","문화시설","346944","벽아미술관",,,"100105","미술관","2720010300104470002","대구광역시","남구","대명동",,"447-2","2720010300","2720064000","272004232324","큰골3길","45-9","128.580165","35.83872736","라마975607","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000100","장소","문화시설","346946","가톨릭관동대학교강릉캠퍼스박물관",,,"100103","기타전시/박물관","5115011600105220000","강원특별자치도","강릉시","내곡동",,"522","5115011600","5115060000","511504460437","범일로579번길","24","128.8751925","37.73619553","마사211716","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000101","장소","문화시설","346953","파로호안보전시관",,,"100103","기타전시/박물관","5179031027202150006","강원특별자치도","화천군","간동면","구만리","산215-6","5179031027","5179031000","517903231017","파로호로","208","127.7715123","38.09501194","라아238105","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000102","장소","문화시설","346957","허숙아뜨갤러리",,,"100106","소형갤러리","2623010200102020005","부산광역시","부산진구","전포동",,"202-5","2623010200","2623061000","262304187197","동성로87번길","23","129.0669227","35.15812158","마라427858","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
