ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KCDMEPO23N000000036","장소","문화시설","302648","아트피아갤러리",,,"100106","소형갤러리","1117012500100430002","서울특별시","용산구","한강로2가",,"43-2","1117012500","1117062500","111702005005","한강대로","154","126.9715466","37.53264356","다사533482","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000037","장소","문화시설","302805","아트갤러리",,,"100106","소형갤러리","1129013600100170001","서울특별시","성북구","하월곡동",,"17-1","1129013600","1129072500","112903005046","화랑로","103","127.0431369","37.60383501","다사596561","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000038","장소","문화시설","310825","남교소극장",,,"100203","공연/연극/문화센터","4611010700100800001","전라남도","목포시","남교동",,"80-1","4611010700","4611059500","461104643700","차범석길35번길","6-1","126.3807508","34.79305804","나라976448","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000039","장소","문화시설","346588","횡성향토사료관",,,"100105","미술관","5173031025108680004","강원특별자치도","횡성군","우천면","정금리","868-4","5173031025","5173031000","517303226072","정포로","37","128.1012877","37.50424856","라사531451","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000040","장소","문화시설","346590","전북소방유물관",,,"100103","기타전시/박물관","4511310700115480011","전라북도","전주시 덕진구","금암동",,"1548-11","4511310700","4511358000","451132266003","백제대로","611","127.136983","35.84231333","다마672607","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000041","장소","문화시설","346595","주택전시관",,,"100103","기타전시/박물관","4113510300102530000","경기도","성남시 분당구","정자동",,"253","4113510300","4113557000","411353180030","불정로","50","127.112278","37.35839488","다사656288","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000042","장소","문화시설","346599","유지갤러리",,,"100106","소형갤러리","2914012000112100007","광주광역시","서구","치평동",,"1210-7","2914012000","2914074500","291403160020","상무연하로","96","126.8504374","35.15683769","다라408848","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000043","장소","문화시설","346606","두산아트센터",,,"100203","공연/연극/문화센터","1111016000102700000","서울특별시","종로구","연지동",,"270","1111016000","1111063000","111104100323","종로33길","15","127.001037","37.57181471","다사559526","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000044","장소","문화시설","346615","경인미술관",,,"100105","미술관","1111012800100300001","서울특별시","종로구","관훈동",,"30-1","1111012800","1111061500","111104100246","인사동10길","11-4","126.9854406","37.57444711","다사545529","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000045","장소","문화시설","346620","성기동국민관광지왕인박사기념관",,,"100103","기타전시/박물관","4683036028200170000","전라남도","영암군","군서면","동구림리","산17","4683036028","4683036000","468303295086","왕인로","440","126.6314404","34.75433374","다라205403","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000046","장소","문화시설","346639","세계잼버리대회장잼버리전시관",,,"100103","기타전시/박물관","5182033031107140002","강원특별자치도","고성군","토성면","인흥리","714-2","5182033031","5182033000","518203234033","잼버리로","244","128.4969796","38.22253904","라아872251","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000047","장소","문화시설","346642","에스갤러리",,,"100106","소형갤러리","2711010800101290015","대구광역시","중구","봉산동",,"129-15","2711010800","2711056500","271104223108","봉산문화길","101","128.5963188","35.8643888","라마989636","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000048","장소","문화시설","346644","관덕정순교기념관",,,"100103","기타전시/박물관","2711015600109380019","대구광역시","중구","남산동",,"938-19","2711015600","2711065000","271104223009","관덕정길","11","128.591045","35.86513661","라마985637","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000049","장소","문화시설","346649","연제미술관",,,"100105","미술관","2623010700101020011","부산광역시","부산진구","초읍동",,"102-11","2623010700","2623055000","262304187445","성지로150번길","44","129.0485114","35.18373958","마라409887","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000050","장소","문화시설","346654","덕원갤러리",,,"100106","소형갤러리","1111013600100150000","서울특별시","종로구","인사동",,"15","1111013600","1111061500","111104100259","인사동길","24","126.986501","37.57294981","다사546527","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000051","장소","문화시설","346659","정선갤러리",,,"100106","소형갤러리","1111013400100660003","서울특별시","종로구","경운동",,"66-3","1111013400","1111061500","111104100246","인사동10길","23-4","126.9862703","37.57466074","다사546529","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000052","장소","문화시설","346672","동덕여대공연장",,,"100203","공연/연극/문화센터","1111016800100010005","서울특별시","종로구","동숭동",,"1-5","1111016800","1111064000","111104100075","동숭길","122","127.0037133","37.5837033","다사561539","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000053","장소","문화시설","346673","에이블아카데미",,,"100103","기타전시/박물관","4146510100107100003","경기도","용인시 수지구","풍덕천동",,"710-3","4146510100","4146551000","414654415160","풍덕천로139번길","10-8","127.0968735","37.32485423","다사642251","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000054","장소","문화시설","346677","우도농악전시관",,,"100103","기타전시/박물관","4518010400100830010","전라북도","정읍시","시기동",,"83-10","4518010400","4518056500","451803270039","정읍사로","498-9","126.8626591","35.54787531","다마422281","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000055","장소","문화시설","346680","갤러리도스",,,"100106","소형갤러리","1111012800100550001","서울특별시","종로구","관훈동",,"55-1","1111012800","1111061500","111104100248","인사동12길","10","126.9850667","37.57441456","다사545529","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000056","장소","문화시설","346689","청풍문화재단지유물전시관",,,"100103","기타전시/박물관","4315032041200060020","충청북도","제천시","청풍면","읍리","산6-20","4315032021","4315032000","431503239070","청풍호로","2048","128.1733709","37.00402506","라바599897","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000057","장소","문화시설","346695","봉성갤러리",,,"100106","소형갤러리","2711010800102250005","대구광역시","중구","봉산동",,"225-5","2711010800","2711056500","271104223108","봉산문화길","49","128.5975148","35.86208854","라마990633","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000058","장소","문화시설","346699","소헌갤러리",,,"100106","소형갤러리","2711010800102230027","대구광역시","중구","봉산동",,"223-27","2711010800","2711056500","271104223108","봉산문화길","34","128.5980736","35.86163464","라마991633","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000059","장소","문화시설","346702","태현요업전시관",,,"100103","기타전시/박물관","4167012100103210001","경기도","여주시","오학동",,"321-1","4167012100","4167053000","416703214070","여양로","289","127.6448849","37.30745817","라사128231","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000060","장소","문화시설","346708","갤러리석",,,"100106","소형갤러리","1168010700106190004","서울특별시","강남구","신사동",,"619-4","1168010700","1168054500","116804166521","압구정로38길","14","127.0325095","37.52776579","다사586477","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000061","장소","문화시설","346709","선갤러리",,,"100106","소형갤러리","2911012800100080003","광주광역시","동구","충장로2가",,"8-3","2911012800","2911052500","291103009008","충장로","87","126.91676","35.14814887","다라468838","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000062","장소","문화시설","346722","실브갤러리",,,"100106","소형갤러리","2711010600101390008","대구광역시","중구","삼덕동2가",,"139-8","2711010600","2711054500","271103007017","공평로","26-9","128.6005647","35.8662713","라마993638","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000063","장소","문화시설","346723","금호아트홀",,,"100203","공연/연극/문화센터","1111012000100570000","서울특별시","종로구","신문로1가",,"57","1111012000","1111053000","111103005004","새문안로","75","126.9729358","37.5705943","다사534524","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000064","장소","문화시설","346726","시공갤러리",,,"100106","소형갤러리","2711015700107270014","대구광역시","중구","대봉동",,"727-14","2711015700","2711069000","271103141015","이천로","188-1","128.598867","35.85793999","라마992629","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000065","장소","문화시설","346729","갤러리신라",,,"100106","소형갤러리","2711015700101300005","대구광역시","중구","대봉동",,"130-5","2711015700","2711068000","271103141012","대봉로","200-25","128.6038069","35.85644084","라마996627","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000066","장소","문화시설","346730","갤러리썬",,,"100106","소형갤러리","1168010700106260042","서울특별시","강남구","신사동",,"626-42","1168010700","1168054500","116804166591","언주로157길","13","127.0317599","37.52375648","다사586472","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000067","장소","문화시설","346742","고싸움놀이테마파크고싸움전수관",,,"100103","기타전시/박물관","2915512300106190000","광주광역시","남구","칠석동",,"619","2915512300","2915573000","291553161001","고싸움로","2","126.8375154","35.06973634","다라395751","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000068","장소","문화시설","346746","예조아트갤러리",,,"100106","소형갤러리","1171010300104730000","서울특별시","송파구","풍납동",,"473","1171010300","1171051000","117102000008","천호대로","992","127.1223751","37.53872252","다사666488","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000069","장소","문화시설","346748","송암미술관",,,"100105","미술관","2817710300105870145","인천광역시","미추홀구","학익동",,"587-145","2817710300","2817758000","281774253294","비류대로55번길","68","126.6421738","37.43449656","다사241376","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000070","장소","문화시설","346753","예술극장한마당",,,"100203","공연/연극/문화센터","1129012300100880000","서울특별시","성북구","안암동3가",,"88","1129012300","1129060000","112904856728","고려대로8길","51","127.0220888","37.58362103","다사578539","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000071","장소","문화시설","346762","광장갤러리",,,"100106","소형갤러리","2820010100111360013","인천광역시","남동구","구월동",,"1136-13","2820010100","2820052100","282003153035","미래로","49","126.7042837","37.45448503","다사296397","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000072","장소","문화시설","346768","운보갤러리",,,"100106","소형갤러리","1111013400100660003","서울특별시","종로구","경운동",,"66-3","1111013400","1111061500","111104100246","인사동10길","23-4","126.9862703","37.57466074","다사546529","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000073","장소","문화시설","346771","김혜미자전시관",,,"100103","기타전시/박물관","4571035028103420000","전라북도","완주군","구이면","백여리","342","4571035028","4571035000","457104619073","덕골길","27","127.1095478","35.65501642","다마646399","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000074","장소","문화시설","346772","김종영미술관",,,"100105","미술관","1111018300101140008","서울특별시","종로구","평창동",,"114-8","1111018300","1111056000","111104100505","평창32길","30","126.9775658","37.61309031","다사538572","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000075","장소","문화시설","346774","고당도예전시관",,,"100103","기타전시/박물관","4167012200101910005","경기도","여주시","현암동",,"191-5","4167012200","4167053000","416703214020","도예로","51-1","127.6422127","37.30834712","라사126232","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000076","장소","문화시설","346795","강릉선교장전통문화체험관",,,"100103","기타전시/박물관","5115013500104310000","강원특별자치도","강릉시","운정동",,"431","5115013500","5115066500","511504460738","운정길","63","128.8841065","37.78511542","마사218770","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000077","장소","문화시설","346798","바로크미술관",,,"100105","미술관","1117012400102440001","서울특별시","용산구","한강로1가",,"244-1","1117012400","1117062500","111702005005","한강대로","162","126.9721646","37.53322337","다사533483","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000078","장소","문화시설","346807","창동갤러리",,,"100106","소형갤러리","4812510400101530002","경상남도","창원시 마산합포구","남성동",,"153-2","4812510400","4812563000","481254787171","동서북7길","47","128.5753623","35.20402617","라라978903","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
