역ID,역이름,설명,지하철권역,위도,경도,호선정보
157,디지털미디어시티역,"6호선,경의선,공항철도",수도권,37.577953338623,126.900230407715,"6호선(#9E4510), 경의호선(#29bfd0), 공항호선(#006D9D)"
19,뚝섬역,2호선,수도권,37.5471687316894,127.047332763672,2호선(#009246)
1033,마곡나루역,"9호선,공항철도",수도권,37.5667269,126.827401,"9호선(#8E764B), 공항호선(#006D9D)"
327,마곡역,5호선,수도권,37.5601546,126.824643,5호선(#A064A3)
393,마들역,7호선,수도권,37.6648145,127.0576998,7호선(#5D6519)
345,마장역,5호선,수도권,37.5662651062012,127.043128967285,5호선(#A064A3)
363,마천역,5호선,수도권,37.4947395324707,127.152275085449,5호선(#A064A3)
371,마포구청역,6호선,수도권,37.5633888244629,126.903335571289,6호선(#9E4510)
338,마포역,5호선,수도권,37.5395660400391,126.945892333984,5호선(#A064A3)
135,망우역,"경춘선,중앙선",수도권,37.599708,127.092081,"경춘호선(#29bfd0), 중앙호선(#29bfd0)"
372,망원역,6호선,수도권,37.556037902832,126.910003662109,6호선(#9E4510)
81,매봉역,3호선,수도권,37.487035,127.046918,3호선(#F36630)
397,먹골역,7호선,수도권,37.61078,127.077707,7호선(#5D6519)
399,면목역,7호선,수도권,37.5885238647461,127.087333679199,7호선(#5D6519)
103,명동역,4호선,수도권,37.560965,126.986464,4호선(#00A2D1)
355,명일역,5호선,수도권,37.55131,127.144014,5호선(#A064A3)
332,목동역,5호선,수도권,37.5261427,126.864573,5호선(#A064A3)
432,몽촌토성역,8호선,수도권,37.5174538,127.1124181,8호선(#D6406A)
66,무악재역,3호선,수도권,37.5822759,126.9503465,3호선(#F36630)
44,문래역,2호선,수도권,37.517989,126.894808,2호선(#009246)
435,문정역,8호선,수도권,37.4860192,127.122554,8호선(#D6406A)
98,미아사거리역,4호선,수도권,37.613251,127.030084,4호선(#00A2D1)
97,미아역,4호선,수도권,37.626394,127.026132,4호선(#00A2D1)
408,반포역,7호선,수도권,37.5083045959473,127.011825561523,7호선(#5D6519)
328,발산역,5호선,수도권,37.5588125,126.837455,5호선(#A064A3)
34,방배역,2호선,수도권,37.4816246032715,126.997291564941,2호선(#009246)
360,방이역,5호선,수도권,37.508559,127.12596,5호선(#A064A3)
299,방학역,1호선,수도권,37.667404,127.044402,1호선(#00498B)
323,방화역,5호선,수도권,37.5773839,126.8127402,5호선(#A064A3)
380,버티고개역,6호선,수도권,37.547966003418,127.006820678711,6호선(#9E4510)
1247,보라매공원역,신림선경전철,,37.49533,126.918122,신림호선(#80A8D8)
1248,보라매병원역,신림선경전철,,37.492946,126.923671,신림호선(#80A8D8)
415,보라매역,"7호선,신림선경전철",수도권,37.4998779,126.9202444,"7호선(#5D6519), 신림호선(#80A8D8)"
382,보문역,"6호선,우이신설경전철",수도권,37.585331,127.019391,"6호선(#9E4510), 우이신설호선(#c6bf28)"
131,복정역,"8호선,수인분당선",수도권,37.4705542,127.1266572,"8호선(#D6406A), 수인분당호선(#F7D056)"
1032,봉은사역,9호선,수도권,37.5142194,127.060084,9호선(#8E764B)
38,봉천역,2호선,수도권,37.482476,126.941574,2호선(#009246)
390,봉화산역,6호선,수도권,37.6173667907715,127.091461181641,6호선(#9E4510)
1127,북한산보국문역,우이신설경전철,수도권,37.6121637838505,127.008248104995,우이신설호선(#c6bf28)
1119,북한산우이역,우이신설경전철,수도권,37.6628888,127.01275,우이신설호선(#c6bf28)
63,불광역,"3호선,6호선",수도권,37.6109123229981,126.929733276367,"3호선(#F36630), 6호선(#9E4510)"
400,사가정역,7호선,수도권,37.5816116333008,127.088447570801,7호선(#5D6519)
35,사당역,"2호선,4호선",수도권,37.4766120910644,126.981628417969,"2호선(#009246), 4호선(#00A2D1)"
484,사평역,9호선,수도권,37.5042641,127.015256,9호선(#8E764B)
106,삼각지역,"4호선,6호선",수도권,37.5353378,126.973858,"4호선(#00A2D1), 6호선(#9E4510)"
28,삼성역,2호선,수도권,37.5088958740234,127.063079833984,2호선(#009246)
1031,삼성중앙역,9호선,수도권,37.5130378,127.053347,9호선(#8E764B)
1125,삼양사거리역,우이신설경전철,수도권,37.6212397517446,127.020479761716,우이신설호선(#c6bf28)
1124,삼양역,우이신설경전철,수도권,37.6268915743579,127.018153375573,우이신설호선(#c6bf28)
1182,삼전역,9호선,수도권,37.5047596495852,127.087745012714,9호선(#8E764B)
92,상계역,4호선,수도권,37.6608208,127.0735668,4호선(#00A2D1)
412,상도역,7호선,수도권,37.5028976,126.947971,7호선(#5D6519)
134,상봉역,"7호선,경춘선,중앙선",수도권,37.5965995788574,127.084716796875,"7호선(#5D6519), 경춘호선(#29bfd0), 중앙호선(#29bfd0)"
373,상수역,6호선,수도권,37.547736,126.92296,6호선(#9E4510)
16,상왕십리역,2호선,수도권,37.5645408630371,127.029541015625,2호선(#009246)
386,상월곡역,6호선,수도권,37.606396,127.0484758,6호선(#9E4510)
357,상일동역,5호선,수도권,37.5567256,127.1663966,5호선(#A064A3)
368,새절역,6호선,수도권,37.591014,126.913582,6호선(#9E4510)
479,샛강역,"9호선,신림선경전철",수도권,37.5174926,126.928233,"9호선(#8E764B), 신림호선(#80A8D8)"
155,서강대역,경의선,수도권,37.5520862,126.935499,경의호선(#29bfd0)
340,서대문역,5호선,수도권,37.5657582,126.966631,5호선(#A064A3)
117,서빙고역,중앙선,수도권,37.5192909240723,126.98796081543,중앙호선(#29bfd0)
1251,서울대벤처타운역,신림선경전철,,37.472227,126.934157,신림호선(#80A8D8)
37,서울대입구역,2호선,수도권,37.4810562133789,126.952354431152,2호선(#009246)
268,서울숲역,수인분당선,수도권,37.5440330505371,127.044845581055,수인분당호선(#F7D056)
1,서울역,"1호선,4호선,경의선,공항철도",수도권,37.5557289123535,126.972145080566,"1호선(#00498B), 4호선(#00A2D1), 경의호선(#29bfd0), 공항호선(#006D9D)"
1246,서울지방병무청역,신림선경전철,,37.505766,126.922726,신림호선(#80A8D8)
1250,서원역,신림선경전철,,37.478307,126.933036,신림호선(#80A8D8)
33,서초역,2호선,수도권,37.49184,127.007688,2호선(#009246)
123,석계역,"1호선,6호선",수도권,37.6149978637695,127.065925598145,"1호선(#00498B), 6호선(#9E4510)"
1183,석촌고분역,9호선,수도권,37.502419,127.096901,9호선(#8E764B)
433,석촌역,"8호선,9호선",수도권,37.505438,127.106981,"8호선(#D6406A), 9호선(#8E764B)"
29,선릉역,"2호선,수인분당선",수도권,37.5045072,127.048999,"2호선(#009246), 수인분당호선(#F7D056)"
477,선유도역,9호선,수도권,37.5378339,126.893947,9호선(#8E764B)
271,선정릉역,"9호선,수인분당선",수도권,37.5102757,127.043884,"9호선(#8E764B), 수인분당호선(#F7D056)"
20,성수역,2호선,수도권,37.544569,127.055974,2호선(#009246)
100,성신여대입구역,"4호선,우이신설경전철",수도권,37.5926925,127.016469,"4호선(#00A2D1), 우이신설호선(#c6bf28)"
1120,솔밭공원역,우이신설경전철,수도권,37.6559624894419,127.013264778658,우이신설호선(#c6bf28)
1126,솔샘역,우이신설경전철,수도권,37.6202631848706,127.013501967216,우이신설호선(#c6bf28)
326,송정역,5호선,수도권,37.5611405,126.812429,5호선(#A064A3)
1184,송파나루역,9호선,수도권,37.5109661864575,127.112735157247,9호선(#8E764B)
434,송파역,8호선,수도권,37.499739,127.112201,8호선(#D6406A)
392,수락산역,7호선,수도권,37.6774444580078,127.055335998535,7호선(#5D6519)
158,수색역,경의선,수도권,37.5805587768555,126.89582824707,경의호선(#29bfd0)
87,수서역,"3호선,수인분당선,GTX-A",수도권,37.4873924255371,127.101852416992,"3호선(#F36630), 수인분당호선(#F7D056), GTX-A호선(#9A6292)"
96,수유역,4호선,수도권,37.637979,127.02562,4호선(#00A2D1)
105,숙대입구역,4호선,수도권,37.544897,126.97205,4호선(#00A2D1)
411,숭실대입구역,7호선,수도권,37.4963452,126.953663,7호선(#5D6519)
2,시청역,"1호선,2호선",수도권,37.5656242370605,126.976936340332,"1호선(#00498B), 2호선(#009246)"
343,신금호역,5호선,수도권,37.5544671,127.0208,5호선(#A064A3)
132,신길역,"1호선,5호선",수도권,37.5171432495117,126.91641998291,"1호선(#00498B), 5호선(#A064A3)"
1024,신내역,"경춘선,6호선",수도권,37.6129388,127.103208,"경춘호선(#29bfd0), 6호선(#9E4510)"
485,신논현역,"9호선,신분당선",수도권,37.5046634,127.025033,"9호선(#8E764B), 신분당호선(#BB1833)"
54,신답역,2호선,수도권,37.5700591,127.0464306,2호선(#009246)
15,신당역,"2호선,6호선",수도권,37.5657299,127.018449,"2호선(#009246), 6호선(#9E4510)"
414,신대방삼거리역,7호선,수도권,37.499717,126.928189,7호선(#5D6519)
40,신대방역,2호선,수도권,37.4875526428223,126.912956237793,2호선(#009246)
43,신도림역,"1호선,2호선",수도권,37.5087432861328,126.891128540039,"1호선(#00498B), 2호선(#009246)"
39,신림역,"2호선,신림선경전철",수도권,37.4844551086426,126.929397583008,"2호선(#009246), 신림호선(#80A8D8)"
476,신목동역,9호선,수도권,37.5443333,126.883052,9호선(#8E764B)
483,신반포역,9호선,수도권,37.503487,126.996017,9호선(#8E764B)
470,신방화역,9호선,수도권,37.5674816,126.816986,9호선(#8E764B)
76,신사역,"3호선,신분당선",수도권,37.5162276,127.0198649,"3호선(#F36630), 신분당호선(#BB1833)"
7,신설동역,"1호선,2호선,우이신설경전철",수도권,37.5761070251465,127.024536132812,"1호선(#00498B), 2호선(#009246), 우이신설호선(#c6bf28)"
107,신용산역,4호선,수도권,37.529187,126.967886,4호선(#00A2D1)
122,신이문역,1호선,수도권,37.6020088195801,127.067245483398,1호선(#00498B)
57,신정네거리역,2호선,수도권,37.5198516845703,126.853057861328,2호선(#009246)
331,신정역,5호선,수도권,37.5250199,126.856076,5호선(#A064A3)
49,신촌역,2호선,수도권,37.5551399,126.9369074,2호선(#009246)
153,신촌역,경의선,수도권,37.5598030090332,126.941917419434,경의호선(#29bfd0)
416,신풍역,7호선,수도권,37.500096,126.9099346,7호선(#5D6519)
95,쌍문역,4호선,수도권,37.6486534,127.03473,4호선(#00A2D1)
349,아차산역,5호선,수도권,37.552027,127.08963,5호선(#A064A3)
51,아현역,2호선,수도권,37.5576210021973,126.956199645996,2호선(#009246)
69,안국역,3호선,수도권,37.576556,126.985472,3호선(#F36630)
383,안암역,6호선,수도권,37.586296,127.029137,6호선(#9E4510)
430,암사역,8호선,수도권,37.550148,127.127519,8호선(#D6406A)
1260,암사역사공원역,8호선,,37.557148,127.137493,8호선(#D6406A)
269,압구정로데오역,수인분당선,수도권,37.5272636413574,127.04076385498,수인분당호선(#F7D056)
75,압구정역,3호선,수도권,37.5268325805664,127.028297424316,3호선(#F36630)
339,애오개역,5호선,수도권,37.5533447265625,126.956581115723,5호선(#A064A3)
72,약수역,"3호선,6호선",수도권,37.554443359375,127.011001586914,"3호선(#F36630), 6호선(#9E4510)"
136,양원역,중앙선,수도권,37.6065063476562,127.108100891113,중앙호선(#29bfd0)
490,양재시민의숲역,신분당선,수도권,37.4701151,127.038559,신분당호선(#BB1833)
80,양재역,"3호선,신분당선",수도권,37.4845326,127.034112,"3호선(#F36630), 신분당호선(#BB1833)"
56,양천구청역,2호선,수도권,37.5125503540039,126.865745544434,2호선(#009246)
471,양천향교역,9호선,수도권,37.568193,126.841671,9호선(#8E764B)
334,양평역,5호선,수도권,37.5255913,126.886416,5호선(#A064A3)
403,어린이대공원역,7호선,수도권,37.5480032,127.074607,7호선(#5D6519)
1030,언주역,9호선,수도권,37.5073011,127.033907,9호선(#8E764B)
337,여의나루역,5호선,수도권,37.5271293,126.932961,5호선(#A064A3)
336,여의도역,"5호선,9호선",수도권,37.5216257,126.924219,"5호선(#A064A3), 9호선(#8E764B)"
30,역삼역,2호선,수도권,37.5006645,127.036426,2호선(#009246)
365,역촌역,6호선,수도권,37.606076,126.9227308,6호선(#9E4510)
62,연신내역,"3호선,6호선",수도권,37.6188378,126.9213288,"3호선(#F36630), 6호선(#9E4510)"
475,염창역,9호선,수도권,37.5469556,126.874646,9호선(#8E764B)
45,영등포구청역,"2호선,5호선",수도권,37.524152,126.89628,"2호선(#009246), 5호선(#A064A3)"
335,영등포시장역,5호선,수도권,37.522709,126.905095,5호선(#A064A3)
116,영등포역,1호선,수도권,37.51551,126.907796,1호선(#00498B)
90,오금역,"3호선,5호선",수도권,37.5019926,127.128184,"3호선(#F36630), 5호선(#A064A3)"
249,오류동역,1호선,수도권,37.4944006,126.8447,1호선(#00498B)
333,오목교역,5호선,수도권,37.5245551,126.875212,5호선(#A064A3)
74,옥수역,"3호선,중앙선",수도권,37.5402758,127.0182474,"3호선(#F36630), 중앙호선(#29bfd0)"
265,온수역,"1호선,7호선",수도권,37.4922790527344,126.823989868164,"1호선(#00498B), 7호선(#5D6519)"
359,올림픽공원역,"5호선,9호선",수도권,37.516544342041,127.131149291992,"5호선(#A064A3), 9호선(#8E764B)"
17,왕십리역,"2호선,5호선,수인분당선,중앙선",수도권,37.5611724853516,127.037269592285,"2호선(#009246), 5호선(#A064A3), 수인분당호선(#F7D056), 중앙호선(#29bfd0)"
121,외대앞역,1호선,수도권,37.5961813,127.063632,1호선(#00498B)
53,용답역,2호선,수도권,37.5622711181641,127.051002502441,2호선(#009246)
58,용두역,2호선,수도권,37.573844909668,127.037742614746,2호선(#009246)
401,용마산역,7호선,수도권,37.5735855102539,127.086463928223,7호선(#5D6519)
113,용산역,"1호선,중앙선",수도권,37.5295677185059,126.964164733887,"1호선(#00498B), 중앙호선(#29bfd0)"
329,우장산역,5호선,수도권,37.5488053,126.83632,5호선(#A064A3)
125,월계역,1호선,수도권,37.633114,127.058835,1호선(#00498B)
385,월곡역,6호선,수도권,37.601749420166,127.041427612305,6호선(#9E4510)
370,월드컵경기장역,6호선,수도권,37.5699234008789,126.899002075195,6호선(#9E4510)
12,을지로3가역,"2호선,3호선",수도권,37.5661010742188,126.991058349609,"2호선(#009246), 3호선(#F36630)"
13,을지로4가역,"2호선,5호선",수도권,37.5666977,126.998123,"2호선(#009246), 5호선(#A064A3)"
11,을지로입구역,2호선,수도권,37.566047668457,126.982398986816,2호선(#009246)
119,응봉역,중앙선,수도권,37.5504302978516,127.034896850586,중앙호선(#29bfd0)
364,응암역,6호선,수도권,37.598676,126.9155705,6호선(#9E4510)
50,이대역,2호선,수도권,37.5568038,126.946309,2호선(#009246)
108,이촌역,"4호선,중앙선",수도권,37.5225931,126.973721,"4호선(#00A2D1), 중앙호선(#29bfd0)"
378,이태원역,6호선,수도권,37.5344657897949,126.993690490723,6호선(#9E4510)
86,일원역,3호선,수도권,37.483976,127.084137,3호선(#F36630)
404,자양역,7호선,수도권,37.5316925048828,127.066848754883,7호선(#5D6519)
24,잠실나루역,2호선,수도권,37.5208320617676,127.104148864746,2호선(#009246)
26,잠실새내역,2호선,수도권,37.5116359,127.085542,2호선(#009246)
25,잠실역,"2호선,8호선",수도권,37.513342,127.100155,"2호선(#009246), 8호선(#D6406A)"
77,잠원역,3호선,수도권,37.5130729675293,127.011764526367,3호선(#F36630)
413,장승배기역,7호선,수도권,37.504905,126.939191,7호선(#5D6519)
436,장지역,8호선,수도권,37.4786586,127.126228,8호선(#D6406A)
347,장한평역,5호선,수도권,37.5614852905273,127.064392089844,5호선(#A064A3)
1128,정릉역,우이신설경전철,수도권,37.602689391901,127.013512946061,우이신설호선(#c6bf28)
8,제기동역,1호선,수도권,37.578196,127.034867,1호선(#00498B)
3,종각역,1호선,수도권,37.570169,126.983099,1호선(#00498B)
4,종로3가역,"1호선,3호선,5호선",수도권,37.5715695,126.991895,"1호선(#00498B), 3호선(#F36630), 5호선(#A064A3)"
5,종로5가역,1호선,수도권,37.570988,127.001921,1호선(#00498B)
27,종합운동장역,"2호선,9호선",수도권,37.5113322,127.074955,"2호선(#009246), 9호선(#8E764B)"
394,중계역,7호선,수도권,37.6446275,127.0642932,7호선(#5D6519)
402,중곡역,7호선,수도권,37.5657901,127.0842577,7호선(#5D6519)
133,중랑역,"중앙선,경춘선",수도권,37.594948,127.076152,"중앙호선(#29bfd0), 경춘호선(#29bfd0)"
1187,중앙보훈병원역,9호선,수도권,37.5283558233155,127.14834370609,9호선(#8E764B)
398,중화역,7호선,수도권,37.602572,127.079285,7호선(#5D6519)
473,증미역,9호선,수도권,37.5582067,126.860446,9호선(#8E764B)
369,증산역,6호선,수도권,37.5836601257324,126.909385681152,6호선(#9E4510)
94,창동역,"1호선,4호선",수도권,37.6529874,127.046852,"1호선(#00498B), 4호선(#00A2D1)"
381,창신역,6호선,수도권,37.5800018310547,127.015182495117,6호선(#9E4510)
420,천왕역,7호선,수도권,37.486686,126.838681,7호선(#5D6519)
351,천호역,"5호선,8호선",수도권,37.5385965,127.1234629,"5호선(#A064A3), 8호선(#D6406A)"
491,청계산입구역,신분당선,수도권,37.4472269,127.0556701,신분당호선(#BB1833)
342,청구역,"5호선,6호선",수도권,37.560205,127.013875,"5호선(#A064A3), 6호선(#9E4510)"
405,청담역,7호선,수도권,37.51912,127.051937,7호선(#5D6519)
9,청량리역,"1호선,중앙선,경춘선,수인분당선",수도권,37.5801658630371,127.044326782227,"1호선(#00498B), 중앙호선(#29bfd0), 경춘호선(#29bfd0), 수인분당호선(#F7D056)"
110,총신대입구(이수)역,"4호선,7호선",수도권,37.4869419,126.982168,"4호선(#00A2D1), 7호선(#5D6519)"
70,충무로역,"3호선,4호선",수도권,37.5612798,126.9942728,"3호선(#F36630), 4호선(#00A2D1)"
52,충정로역,"2호선,5호선",수도권,37.5599053,126.963482,"2호선(#009246), 5호선(#A064A3)"
388,태릉입구역,"6호선,7호선",수도권,37.6176632,127.0756089,"6호선(#9E4510), 7호선(#5D6519)"
395,하계역,7호선,수도권,37.6363408,127.067977,7호선(#5D6519)
406,학동역,7호선,수도권,37.514236,127.031593,7호선(#5D6519)
84,학여울역,3호선,수도권,37.496683,127.070549,3호선(#F36630)
379,한강진역,6호선,수도권,37.5402755737305,127.001724243164,6호선(#9E4510)
118,한남역,중앙선,수도권,37.5291709899902,127.00821685791,중앙호선(#29bfd0)
101,한성대입구역,4호선,수도권,37.588442,127.0061645,4호선(#00A2D1)
1185,한성백제역,9호선,수도권,37.516649,127.116342,9호선(#8E764B)
18,한양대역,2호선,수도권,37.5556030273438,127.043762207031,2호선(#009246)
127,한티역,수인분당선,수도권,37.496208,127.052883,수인분당호선(#F7D056)
47,합정역,"2호선,6호선",수도권,37.5499284,126.914407,"2호선(#009246), 6호선(#9E4510)"
344,행당역,5호선,수도권,37.5576057434082,127.029876708984,5호선(#A064A3)
102,혜화역,4호선,수도권,37.5824178,127.001873,4호선(#00A2D1)
48,홍대입구역,"2호선,경의선,공항철도",수도권,37.556838,126.923774,"2호선(#009246), 경의호선(#29bfd0), 공항호선(#006D9D)"
65,홍제역,3호선,수도권,37.588792,126.944094,3호선(#F36630)
1123,화계역,우이신설경전철,수도권,37.6340364918844,127.01750934666,우이신설호선(#c6bf28)
330,화곡역,5호선,수도권,37.5416683,126.840443,5호선(#A064A3)
389,화랑대역,6호선,수도권,37.6203155517578,127.084419250488,6호선(#9E4510)
120,회기역,"1호선,중앙선,경춘선",수도권,37.5897601,127.058146,"1호선(#00498B), 중앙호선(#29bfd0), 경춘호선(#29bfd0)"
104,회현역,4호선,수도권,37.558541,126.978203,4호선(#00A2D1)
376,효창공원앞역,"6호선,경의선",수도권,37.539289,126.961339,"6호선(#9E4510), 경의호선(#29bfd0)"
481,흑석역,9호선,수도권,37.5089312,126.963643,9호선(#8E764B)
