역ID,역이름,설명,지하철권역,위도,경도,호선정보
1121,4.19민주묘지역,우이신설경전철,수도권,37.6495406868337,127.013685738462,우이신설호선(#c6bf28)
88,가락시장역,"3호선,8호선",수도권,37.4925644,127.118732,"3호선(#F36630), 8호선(#D6406A)"
206,가산디지털단지역,"1호선,7호선",수도권,37.480898,126.882885,"1호선(#00498B), 7호선(#5D6519)"
472,가양역,9호선,수도권,37.5613396,126.854577,9호선(#8E764B)
1122,가오리역,우이신설경전철,수도권,37.6415373006451,127.016763301688,우이신설호선(#c6bf28)
156,가좌역,경의선,수도권,37.5684661865234,126.916000366211,경의호선(#29bfd0)
270,강남구청역,"7호선,수인분당선",수도권,37.5173683166504,127.041007995605,"7호선(#5D6519), 수인분당호선(#F7D056)"
31,강남역,"2호선,신분당선",수도권,37.497942,127.027621,"2호선(#009246), 신분당호선(#BB1833)"
431,강동구청역,8호선,수도권,37.5302968,127.120421,8호선(#D6406A)
352,강동역,5호선,수도권,37.5358379,127.1324874,5호선(#A064A3)
23,강변역,2호선,수도권,37.5353889465332,127.094551086426,2호선(#009246)
1259,강일역,5호선,,37.557444,127.175781,5호선(#A064A3)
361,개롱역,5호선,수도권,37.4980701,127.1347696,5호선(#A064A3)
248,개봉역,1호선,수도권,37.4944305419922,126.858306884766,1호선(#00498B)
129,개포동역,수인분당선,수도권,37.4891159,127.065987,수인분당호선(#F7D056)
324,개화산역,5호선,수도권,37.57237,126.8061738,5호선(#A064A3)
468,개화역,9호선,수도권,37.5785331726074,126.797904968262,9호선(#8E764B)
362,거여역,5호선,수도권,37.4932177,127.1439403,5호선(#A064A3)
21,건대입구역,"2호선,7호선",수도권,37.5398956,127.0706737,"2호선(#009246), 7호선(#5D6519)"
68,경복궁역,3호선,수도권,37.5758857727051,126.973236083984,3호선(#F36630)
89,경찰병원역,3호선,수도권,37.4958132,127.1243402,3호선(#F36630)
356,고덕역,5호선,수도권,37.555051,127.15411,5호선(#A064A3)
384,고려대역,6호선,수도권,37.5903415,127.0362774,6호선(#9E4510)
78,고속터미널역,"3호선,7호선,9호선",수도권,37.505981,127.0044362,"3호선(#F36630), 7호선(#5D6519), 9호선(#8E764B)"
154,공덕역,"5호선,6호선,경의선,공항철도",수도권,37.5438253,126.9509914,"5호선(#A064A3), 6호선(#9E4510), 경의호선(#29bfd0), 공항호선(#006D9D)"
396,공릉역,7호선,수도권,37.625787,127.072894,7호선(#5D6519)
469,공항시장역,9호선,수도권,37.5637235,126.810685,9호선(#8E764B)
1252,관악산(서울대)역,신림선경전철,,37.468779,126.94531,신림호선(#80A8D8)
350,광나루역,5호선,수도권,37.5451698303223,127.103515625,5호선(#A064A3)
124,광운대역,"1호선,경춘선",수도권,37.6234130859375,127.062271118164,"1호선(#00498B), 경춘호선(#29bfd0)"
341,광화문역,5호선,수도권,37.5716621,126.97642,5호선(#A064A3)
374,광흥창역,6호선,수도권,37.5472869873047,126.93172454834,6호선(#9E4510)
32,교대역,"2호선,3호선",수도권,37.493682,127.013705,"2호선(#009246), 3호선(#F36630)"
41,구로디지털단지역,2호선,수도권,37.4853553771973,126.901123046875,2호선(#009246)
205,구로역,1호선,수도권,37.5031089782715,126.882568359375,1호선(#00498B)
128,구룡역,수인분당선,수도권,37.4866848,127.059955,수인분당호선(#F7D056)
482,구반포역,9호선,수도권,37.5013767,126.987181,9호선(#8E764B)
367,구산역,6호선,수도권,37.6111946105957,126.917152404785,6호선(#9E4510)
22,구의역,2호선,수도권,37.537145,127.086135,2호선(#009246)
260,구일역,1호선,수도권,37.4966646,126.870865,1호선(#00498B)
61,구파발역,3호선,수도권,37.6365051269531,126.918830871582,3호선(#F36630)
478,국회의사당역,9호선,수도권,37.528128,126.917853,9호선(#8E764B)
348,군자역,"5호선,7호선",수도권,37.5571632385254,127.079444885254,"5호선(#A064A3), 7호선(#5D6519)"
354,굽은다리역,5호선,수도권,37.5460548400879,127.143180847168,5호선(#A064A3)
207,금천구청역,1호선,수도권,37.4555587768555,126.894081115723,1호선(#00498B)
73,금호역,3호선,수도권,37.548095703125,127.01586151123,3호선(#F36630)
353,길동역,5호선,수도권,37.5377716,127.139939,5호선(#A064A3)
99,길음역,4호선,수도권,37.6041515,127.025429,4호선(#00A2D1)
325,김포공항역,"5호선,9호선,공항철도,김포골드라인,서해선",수도권,37.5619647,126.801323,"5호선(#A064A3), 9호선(#8E764B), 공항호선(#006D9D), 김포골드호선(#98772E), 서해호선(#81A914)"
59,까치산역,"2호선,5호선",수도권,37.5317498,126.846715,"2호선(#009246), 5호선(#A064A3)"
36,낙성대역,2호선,수도권,37.477117,126.963418,2호선(#009246)
417,남구로역,7호선,수도권,37.486087,126.887272,7호선(#5D6519)
79,남부터미널역,3호선,수도권,37.4853439331055,127.016212463379,3호선(#F36630)
410,남성역,7호선,수도권,37.4846516,126.9712573,7호선(#5D6519)
112,남영역,1호선,수도권,37.5416412353516,126.971229553223,1호선(#00498B)
111,남태령역,4호선,수도권,37.4638623,126.9891185,4호선(#00A2D1)
409,내방역,7호선,수도권,37.487707,126.993598,7호선(#5D6519)
480,노들역,9호선,수도권,37.5126442,126.953246,9호선(#8E764B)
114,노량진역,"1호선,9호선",수도권,37.5136439,126.94211,"1호선(#00498B), 9호선(#8E764B)"
93,노원역,"4호선,7호선",수도권,37.6563987,127.063831,"4호선(#00A2D1), 7호선(#5D6519)"
64,녹번역,3호선,수도권,37.600869,126.935761,3호선(#F36630)
377,녹사평역,6호선,수도권,37.534574,126.986877,6호선(#9E4510)
126,녹천역,1호선,수도권,37.6447982788086,127.051498413086,1호선(#00498B)
407,논현역,"7호선,신분당선",수도권,37.511206,127.021728,"7호선(#5D6519), 신분당호선(#BB1833)"
346,답십리역,5호선,수도권,37.5664291381836,127.053146362305,5호선(#A064A3)
91,당고개역,4호선,수도권,37.6703905,127.079252,4호선(#00A2D1)
1249,당곡역,신림선경전철,,37.48989,126.927718,신림호선(#80A8D8)
46,당산역,"2호선,9호선",수도권,37.533875,126.90196,"2호선(#009246), 9호선(#8E764B)"
42,대림역,"2호선,7호선",수도권,37.4919784,126.8954424,"2호선(#009246), 7호선(#5D6519)"
130,대모산입구역,수인분당선,수도권,37.4916191101074,127.072814941406,수인분당호선(#F7D056)
115,대방역,"1호선,신림선경전철",수도권,37.513392,126.926407,"1호선(#00498B), 신림호선(#80A8D8)"
85,대청역,3호선,수도권,37.493601,127.079526,3호선(#F36630)
83,대치역,3호선,수도권,37.494569,127.063446,3호선(#F36630)
375,대흥역,6호선,수도권,37.5476455688477,126.942054748535,6호선(#9E4510)
82,도곡역,"3호선,수인분당선",수도권,37.4908992,127.05539,"3호선(#F36630), 수인분당호선(#F7D056)"
55,도림천역,2호선,수도권,37.5142728,126.8827957,2호선(#009246)
301,도봉산역,"1호선,7호선",수도권,37.6898460388184,127.045989990234,"1호선(#00498B), 7호선(#5D6519)"
300,도봉역,1호선,수도권,37.679441,127.045521,1호선(#00498B)
67,독립문역,3호선,수도권,37.574453,126.957918,3호선(#F36630)
366,독바위역,6호선,수도권,37.6183853149414,126.932861328125,6호선(#9E4510)
217,독산역,1호선,수도권,37.4665260314941,126.889266967773,1호선(#00498B)
387,돌곶이역,6호선,수도권,37.6106109619141,127.057159423828,6호선(#9E4510)
6,동대문역,"1호선,4호선",수도권,37.5712557,127.0090801,"1호선(#00498B), 4호선(#00A2D1)"
14,동대문역사문화공원역,"2호선,4호선,5호선",수도권,37.5649788,127.007742,"2호선(#009246), 4호선(#00A2D1), 5호선(#A064A3)"
71,동대입구역,3호선,수도권,37.5590438842773,127.005035400391,3호선(#F36630)
10,동묘앞역,"1호선,6호선",수도권,37.5732460021973,127.01636505127,"1호선(#00498B), 6호선(#9E4510)"
109,동작역,"4호선,9호선",수도권,37.5025561,126.980423,"4호선(#00A2D1), 9호선(#8E764B)"
358,둔촌동역,5호선,수도권,37.527657,127.136231,5호선(#A064A3)
1186,둔촌오륜역,9호선,수도권,37.519266,127.138873,9호선(#8E764B)
474,등촌역,9호선,수도권,37.5508062,126.865371,9호선(#8E764B)
